1,2
1,3
1,5
1,6
1,8
1,9
1,11
1,12
1,14
1,15
1,17
1,18
1,20
1,21
1,23
1,24
1,26
1,27
1,29
1,30
1,32
1,33
1,35
1,36
1,38
1,39
1,41
1,42
1,44
1,45
1,47
1,48
1,50
1,51
1,53
1,54
1,56
1,57
1,59
1,60
1,62
1,63
1,65
1,66
1,68
1,69
1,71
1,72
1,74
1,75
1,77
1,78
1,80
1,81
1,83
1,84
1,86
1,87
1,89
1,90
1,92
1,93
1,95
1,96
1,98
1,99
1,101
1,102
1,104
1,105
1,107
1,108
1,110
1,111
1,113
1,114
1,116
1,117
1,119
1,120
1,122
1,123
1,125
1,126
1,128
1,129
1,131
1,132
1,134
1,135
1,137
1,138
1,140
2,1
2,2
2,3
2,4
2,5
2,6
2,7
2,8
2,9
2,10
2,11
2,12
2,13
2,14
2,15
2,16
2,17
2,18
2,19
2,20
2,21
2,22
2,23
2,24
2,25
2,26
2,27
2,28
2,29
2,30
2,31
2,32
2,33
2,34
2,35
2,36
2,37
2,38
2,39
2,40
2,41
2,42
2,43
2,44
2,45
2,46
2,47
2,48
2,49
2,50
2,51
2,52
2,53
2,54
2,55
2,56
2,57
2,58
2,59
2,60
2,61
2,62
2,63
2,64
2,65
2,66
2,67
2,68
2,69
2,70
2,71
2,72
2,73
2,74
2,75
2,76
2,77
2,78
2,79
2,80
2,81
2,82
2,83
2,84
2,85
2,86
2,87
2,88
2,89
2,90
2,91
2,92
2,93
2,94
2,95
2,96
2,97
2,98
2,99
2,100
2,101
2,102
2,103
2,104
2,105
2,106
2,107
2,108
2,109
2,110
2,111
2,112
2,113
2,114
2,115
2,116
2,117
2,118
2,119
2,120
2,121
2,122
2,123
2,124
2,125
2,126
2,127
2,128
2,129
2,130
2,131
2,132
2,133
2,134
2,135
2,136
2,137
2,138
2,139
2,140
3,1
3,2
3,3
3,4
3,5
3,6
3,7
3,8
3,9
3,10
3,11
3,12
3,13
3,14
3,15
3,16
3,17
3,18
3,19
3,20
3,21
3,22
3,23
3,24
3,25
3,26
3,27
3,28
3,29
3,30
3,31
3,32
3,33
3,34
3,35
3,36
3,37
3,38
3,39
3,40
3,41
3,42
3,43
3,44
3,45
3,46
3,47
3,48
3,49
3,50
3,51
3,52
3,53
3,54
3,55
3,56
3,57
3,58
3,59
3,60
3,61
3,62
3,63
3,64
3,65
3,66
3,67
3,68
3,69
3,70
3,71
3,72
3,73
3,74
3,75
3,76
3,77
3,78
3,79
3,80
3,81
3,82
3,83
3,84
3,85
3,86
3,87
3,88
3,89
3,90
3,91
3,92
3,93
3,94
3,95
3,96
3,97
3,98
3,99
3,100
3,101
3,102
3,103
3,104
3,105
3,106
3,107
3,108
3,109
3,110
3,111
3,112
3,113
3,114
3,115
3,116
3,117
3,118
3,119
3,120
3,121
3,122
3,123
3,124
3,125
3,126
3,127
3,128
3,129
3,130
3,131
3,132
3,133
3,134
3,135
3,136
3,137
3,138
3,139
3,140
4,1
4,4
4,7
4,10
4,13
4,16
4,19
4,22
4,25
4,28
4,31
4,34
4,37
4,40
4,43
4,46
4,49
4,52
4,55
4,58
4,61
4,64
4,67
4,70
4,73
4,76
4,79
4,82
4,85
4,88
4,91
4,94
4,97
4,100
4,103
4,106
4,109
4,112
4,115
4,118
4,121
4,124
4,127
4,130
4,133
4,136
4,139
